name,ra_hours,dec_deg,mag
Sirius,6.7525,-16.7161,-1.46
Canopus,6.3992,-52.6957,-0.74
Alpha Centauri,14.6600,-60.8354,-0.27
Arcturus,14.2610,19.1825,-0.05
Vega,18.6156,38.7837,0.03
Capella,5.2782,45.9980,0.08
Rigel,5.2423,-8.2016,0.13
Procyon,7.6550,5.2250,0.34
Betelgeuse,5.9195,7.4071,0.50
Achernar,1.6286,-57.2368,0.46
Hadar,14.0637,-60.3730,0.61
Altair,19.8464,8.8683,0.77
Aldebaran,4.5987,16.5093,0.85
Antares,16.4901,-26.4320,0.96
Spica,13.4199,-11.1613,0.98
Pollux,7.7553,28.0262,1.14
Fomalhaut,22.9608,-29.6222,1.16
Deneb,20.6905,45.2803,1.25
Mimosa,12.7953,-59.6888,1.25
Regulus,10.1395,11.9672,1.35
Adhara,6.9770,-28.9721,1.50
Castor,7.5766,31.8883,1.58
Gacrux,12.5194,-57.1133,1.63
Shaula,17.5601,-37.1038,1.63
Bellatrix,5.4189,6.3497,1.64
Alnilam,5.6036,-1.2019,1.69
Miaplacidus,9.2199,-69.7172,1.69
Alnitak,5.6793,-1.9426,1.74
Alnair,22.1372,-46.9611,1.74
Dubhe,11.0621,61.7511,1.79
Alkaid,13.7923,49.3133,1.85
Kaus Australis,18.4029,-34.3846,1.85
Avior,8.3752,-59.5097,1.86
Menkalinan,5.9922,44.9474,1.90
Atria,16.8111,-69.0277,1.91
Peacock,20.4275,-56.7350,1.94
Alhena,6.6285,16.3993,1.93
Polaris,2.5301,89.2641,1.98
Alphard,9.4599,-8.6586,1.98
Mintaka,5.5334,-0.2991,2.23
Merak,11.0307,56.3824,2.37
